"data","TCI","W"
2025-03-05,26.7110851736071,"W = 200"
2025-03-06,26.731608777413,"W = 200"
2025-03-07,27.2031395310878,"W = 200"
2025-03-10,27.073317522416,"W = 200"
2025-03-11,26.9875401980711,"W = 200"
2025-03-12,27.316970993426,"W = 200"
2025-03-13,27.612831567911,"W = 200"
2025-03-14,27.6816641059886,"W = 200"
2025-03-17,27.7846423565987,"W = 200"
2025-03-18,27.4175877992637,"W = 200"
2025-03-19,27.2433387355025,"W = 200"
2025-03-20,27.1813531847733,"W = 200"
2025-03-21,27.4875650518544,"W = 200"
2025-03-24,27.2634959002807,"W = 200"
2025-03-25,26.9521302355403,"W = 200"
2025-03-26,27.0014000339324,"W = 200"
2025-03-27,26.8645358132176,"W = 200"
2025-03-28,26.9065310493298,"W = 200"
2025-03-31,26.9926623778114,"W = 200"
2025-04-01,27.0568632679543,"W = 200"
2025-04-02,27.0153128587391,"W = 200"
2025-04-03,27.2716610687653,"W = 200"
2025-04-04,27.8577425496836,"W = 200"
2025-04-07,29.4799600740542,"W = 200"
2025-04-08,29.5972991986052,"W = 200"
2025-04-09,31.1312157134923,"W = 200"
2025-04-10,31.5038187959981,"W = 200"
2025-04-11,31.2238485944763,"W = 200"
2025-04-14,30.8969972306574,"W = 200"
2025-04-15,30.7102183505253,"W = 200"
2025-04-16,30.765669698359,"W = 200"
2025-04-17,30.8707660844607,"W = 200"
2025-04-22,30.92523974449,"W = 200"
2025-04-23,30.9957355153109,"W = 200"
2025-04-24,30.9582842949501,"W = 200"
2025-04-25,31.0106322009808,"W = 200"
2025-04-28,30.6183507786352,"W = 200"
2025-04-29,30.4745752585035,"W = 200"
2025-04-30,30.3567778231186,"W = 200"
2025-05-02,30.4947805915512,"W = 200"
2025-05-05,30.5141016727293,"W = 200"
2025-05-06,30.6352433959079,"W = 200"
2025-05-07,30.4881849779434,"W = 200"
2025-05-08,31.754750041234,"W = 200"
2025-05-09,33.4505721715872,"W = 200"
2025-05-12,33.441769431322,"W = 200"
2025-05-13,34.8576039088421,"W = 200"
2025-05-14,34.495267184312,"W = 200"
2025-05-15,34.533932702276,"W = 200"
2025-05-16,33.3399560627866,"W = 200"
2025-05-19,33.0780951225752,"W = 200"
2025-05-20,32.9735070696004,"W = 200"
2025-05-21,31.5175767433645,"W = 200"
2025-05-22,31.6438935904759,"W = 200"
2025-05-23,31.7888655975825,"W = 200"
2025-05-26,31.823694746298,"W = 200"
2025-05-27,32.0978892223841,"W = 200"
2025-05-28,32.1141795092286,"W = 200"
2025-05-29,32.7121824675937,"W = 200"
2025-05-30,32.323486669283,"W = 200"
2025-06-02,28.1805910515024,"W = 200"
2025-06-03,28.1229068411567,"W = 200"
2025-06-04,28.1803357292715,"W = 200"
2025-06-05,28.3730768488717,"W = 200"
2025-06-06,28.1112918603627,"W = 200"
2025-06-09,28.5631836855244,"W = 200"
2025-06-10,28.4291593839001,"W = 200"
2025-06-11,28.6309707244133,"W = 200"
2025-06-12,27.3525530320632,"W = 200"
2025-06-13,27.1798592379643,"W = 200"
2025-06-16,27.4795366719439,"W = 200"
2025-06-17,27.4346189555929,"W = 200"
2025-06-18,27.4835037849274,"W = 200"
2025-06-20,27.1883791836973,"W = 200"
2025-06-23,27.2150914906079,"W = 200"
2025-06-24,27.2323569346698,"W = 200"
2025-06-25,27.3129369905169,"W = 200"
2025-06-26,27.0381099924567,"W = 200"
2025-06-27,27.013768096348,"W = 200"
2025-06-30,26.7303742941376,"W = 200"
2025-07-01,26.8037666286255,"W = 200"
2025-07-02,26.9938055353516,"W = 200"
2025-07-03,26.6940358335251,"W = 200"
2025-07-04,26.7726533648359,"W = 200"
2025-07-07,27.1405057782773,"W = 200"
2025-07-08,26.6934069900589,"W = 200"
2025-07-09,27.2618308634598,"W = 200"
2025-07-10,27.0907156600366,"W = 200"
2025-07-11,26.9323978504488,"W = 200"
2025-07-14,26.7615739304018,"W = 200"
2025-07-15,26.8252161965181,"W = 200"
2025-07-16,27.1025330793578,"W = 200"
2025-07-17,27.2356376304907,"W = 200"
2025-07-18,26.1526331748525,"W = 200"
2025-07-21,25.9743820052482,"W = 200"
2025-07-22,25.892467793297,"W = 200"
2025-07-23,25.9502878959517,"W = 200"
2025-07-24,26.0601399350473,"W = 200"
2025-07-25,26.0867484534855,"W = 200"
2025-07-28,26.7844782822581,"W = 200"
2025-07-29,26.8233762195345,"W = 200"
2025-07-30,27.1266761035207,"W = 200"
2025-07-31,27.1699596698002,"W = 200"
2025-08-01,27.4450883721813,"W = 200"
2025-08-04,27.3664675615085,"W = 200"
2025-08-05,27.358580287332,"W = 200"
2025-08-06,27.4524211292441,"W = 200"
2025-08-07,26.9201034732613,"W = 200"
2025-08-08,27.0768250264257,"W = 200"
2025-08-11,26.6469353191248,"W = 200"
2025-08-12,26.5244427251744,"W = 200"
2025-08-13,25.9740412458049,"W = 200"
2025-08-14,26.0841672606005,"W = 200"
2025-08-15,25.3500133776473,"W = 200"
2025-08-18,24.9765170204745,"W = 200"
2025-08-19,25.6315567220323,"W = 200"
2025-08-20,25.4539335864153,"W = 200"
2025-08-21,25.3700205148106,"W = 200"
2025-08-22,25.5531117113532,"W = 200"
2025-08-25,25.479040833791,"W = 200"
2025-08-26,25.462106959952,"W = 200"
2025-08-27,25.5470809637824,"W = 200"
2025-08-28,25.6944739824074,"W = 200"
2025-08-29,26.2060833665757,"W = 200"
2025-09-01,26.4626368442645,"W = 200"
2025-09-02,26.8383101137498,"W = 200"
2025-09-03,26.8394229541309,"W = 200"
2025-09-04,26.678188043644,"W = 200"
2025-09-05,27.2405385398138,"W = 200"
