"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","BPAN4"
2020-07-22,-2.34112939897638,-2.31205586561982,-2.39306465748331,-2.30508011040205,-1.91161465380236,-2.31003574159236,-2.21943883499972,-1.77366237315803
2020-07-23,-2.37665405234634,-2.34527504315935,-2.43840305946012,-2.34987451457412,-1.90078470747312,-2.34838773845519,-2.28112766769788,-1.8141993895193
2020-07-24,-2.38162784836038,-2.33940934592676,-2.41903444748012,-2.34943375611228,-1.88367668905935,-2.33998258648221,-2.27483501715392,-1.86759716246091
2020-07-27,-2.39252114622392,-2.36570244669383,-2.41098487602206,-2.36743851761731,-1.92198047660796,-2.34541740347968,-2.27409958270608,-1.91308409925156
2020-07-28,-2.38168430776365,-2.32560117096079,-2.40112717556856,-2.34917526914812,-1.92729190946972,-2.33032014102217,-2.31180093385071,-1.95429558062798
2020-07-29,-2.38090400147898,-2.34566777057361,-2.41286465338195,-2.30395106181743,-1.89701105879649,-2.33390238518241,-2.32633439990922,-2.00901173716695
2020-07-30,-2.34963273772405,-2.30826102629559,-2.37271034746687,-2.28071588183858,-1.89540249010277,-2.30251705579046,-2.32662520400211,-2.00786168352466
2020-07-31,-2.37404458836705,-2.30096523441156,-2.40675939157651,-2.31740565059005,-1.89280852223835,-2.34730268722035,-2.36813748720295,-2.01552464271552
2020-08-03,-2.33507875206605,-2.2884131585961,-2.36994527604356,-2.3021903667247,-1.87447554402436,-2.36418441324527,-2.36929960884722,-1.99260837028627
2020-08-04,-2.25179727793544,-2.27589684519585,-2.35302200257747,-2.26961283177188,-1.862664660366,-2.36028904616161,-2.35824119840796,-1.98774456869103
2020-08-05,-2.25542296234719,-2.26966573318951,-2.33545230609686,-2.2751546308831,-1.8741628944326,-2.34794487733392,-2.35208444605874,-2.00737827078756
2020-08-06,-2.24487502076393,-2.27056669498754,-2.3073449641717,-2.26450217039591,-1.87248023701179,-2.32688666508373,-2.33986058322012,-1.98773439640548
2020-08-07,-2.19721563182904,-2.2239233366365,-2.26814147352891,-2.23707024548577,-1.86525404766057,-2.31148450988192,-2.32777232474293,-1.99061351181004
2020-08-10,-2.19779611988753,-2.22829909628447,-2.2669740602199,-2.23226688550308,-1.85765594289796,-2.31498037827912,-2.32864805038118,-2.00046728364869
