"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4"
2017-03-28,-2.62817549767999,-2.49249736527838,-2.39854278714787,-2.06343367149756,-1.99903416385778,-1.95007568604711,-2.14456732985476
2017-03-29,-2.6363913190363,-2.49710274595832,-2.4157884785494,-2.05559363411348,-1.99846408060206,-1.94889767643357,-2.0716482175122
2017-03-30,-2.62799532045802,-2.48074356572396,-2.46363949313304,-2.06270743706551,-1.99789399734622,-2.02347027972858,-2.12215965583237
2017-03-31,-2.62215153468079,-2.47692750997176,-2.4619724057501,-2.05916835751264,-1.99732391409024,-2.04779946483229,-2.12375622266878
2017-04-03,-2.63257155994372,-2.47907754233063,-2.46897523156736,-2.04948740404108,-1.99675383083408,-2.03135063531378,-2.12320071146592
2017-04-04,-2.64296700190367,-2.4831399488225,-2.46641227671303,-2.05889331310142,-1.9961837475777,-2.02418053097155,-2.1257497041004
2017-04-05,-2.63374720398512,-2.46069520777557,-2.45261818073866,-2.03392514491915,-1.99561366432104,-2.00500382802766,-2.13611528945818
2017-04-06,-2.62862366198001,-2.45525186723177,-2.44008776187554,-2.02243786506159,-1.99504358106404,-2.02255226096461,-2.15039024607698
2017-04-07,-2.61666848596223,-2.46137090635822,-2.42218351681027,-2.02242326629207,-1.9944734978066,-2.00887990022378,-2.11756540824417
2017-04-10,-2.63187631887805,-2.50088792098304,-2.44997653188149,-2.03592473880789,-1.99390341454862,-2.00614570789533,-2.11958008422157
2017-04-11,-2.609380965543,-2.46726767272026,-2.4518536980627,-2.02583448589657,-1.99333333128996,-2.00147171859322,-2.12834253135402
2017-04-12,-2.62048010590949,-2.4761577067322,-2.47646149299124,-2.03667027479302,-1.99276324803045,-2.02083938562756,-2.11952224891247
2017-04-13,-2.63929915432844,-2.49488789162133,-2.5070298436386,-2.04225786358418,-1.99219316476987,-2.05220492454074,-2.14987612118281
