"data","TCI","W"
2022-02-17,48.461963181611,"W = 250"
2022-02-18,48.2884750170803,"W = 250"
2022-02-21,47.4113566821185,"W = 250"
2022-02-22,47.4098366502781,"W = 250"
2022-02-23,45.1550628889545,"W = 250"
2022-02-24,45.6427196322923,"W = 250"
2022-02-25,45.4724039539048,"W = 250"
2022-03-02,45.3870702438171,"W = 250"
2022-03-03,43.9616083551875,"W = 250"
2022-03-04,44.2228710795257,"W = 250"
2022-03-07,43.9502274046698,"W = 250"
2022-03-08,44.0142721320606,"W = 250"
2022-03-09,43.9460773799637,"W = 250"
2022-03-10,44.1279794908111,"W = 250"
2022-03-11,44.4267689752378,"W = 250"
2022-03-14,44.5290823252763,"W = 250"
2022-03-15,44.3262544807295,"W = 250"
2022-03-16,44.1725364789104,"W = 250"
2022-03-17,44.1453450833293,"W = 250"
2022-03-18,44.4569038066947,"W = 250"
2022-03-21,44.4040352632639,"W = 250"
2022-03-22,44.830425477856,"W = 250"
2022-03-23,45.1065500175376,"W = 250"
2022-03-24,45.2280394637864,"W = 250"
2022-03-25,45.4580726585331,"W = 250"
2022-03-28,45.4334047311034,"W = 250"
2022-03-29,45.6271986059013,"W = 250"
2022-03-30,45.8151715228076,"W = 250"
2022-03-31,45.9698398302367,"W = 250"
2022-04-01,46.0378005045295,"W = 250"
2022-04-04,45.5781819347184,"W = 250"
2022-04-05,45.7824953447514,"W = 250"
2022-04-06,45.4658946974553,"W = 250"
2022-04-07,45.4057469890816,"W = 250"
2022-04-08,45.8380508910844,"W = 250"
2022-04-11,45.8011357907999,"W = 250"
2022-04-12,45.7438673914121,"W = 250"
2022-04-13,45.9506589140453,"W = 250"
2022-04-14,45.9336198951382,"W = 250"
2022-04-18,46.1974338946383,"W = 250"
2022-04-19,46.0673571629536,"W = 250"
2022-04-20,46.390373908945,"W = 250"
2022-04-22,46.634266329501,"W = 250"
2022-04-25,47.0981986809077,"W = 250"
2022-04-26,47.2670779686375,"W = 250"
2022-04-27,47.2666989295233,"W = 250"
2022-04-28,47.1711564653374,"W = 250"
2022-04-29,47.2181709355849,"W = 250"
2022-05-02,47.4458539967324,"W = 250"
2022-05-03,47.4018907549603,"W = 250"
2022-05-04,47.5379808060743,"W = 250"
2022-05-05,47.4846047983787,"W = 250"
2022-05-06,47.5284074591632,"W = 250"
2022-05-09,47.7801795334757,"W = 250"
2022-05-10,47.7659434133759,"W = 250"
2022-05-11,47.718090268989,"W = 250"
2022-05-12,47.7412641567355,"W = 250"
2022-05-13,47.7976399053923,"W = 250"
2022-05-16,47.778137252996,"W = 250"
2022-05-17,48.0362922461051,"W = 250"
2022-05-18,47.8819070331371,"W = 250"
2022-05-19,47.412241689438,"W = 250"
2022-05-20,46.7577378108695,"W = 250"
2022-05-23,46.8377879418769,"W = 250"
2022-05-24,46.7068976193656,"W = 250"
2022-05-25,46.4214763695502,"W = 250"
2022-05-26,46.4166396872483,"W = 250"
2022-05-27,46.5987090188397,"W = 250"
2022-05-30,46.2419254674701,"W = 250"
2022-05-31,46.3556114182144,"W = 250"
2022-06-01,45.0390223562958,"W = 250"
2022-06-02,45.0040682708989,"W = 250"
2022-06-03,45.4980079197253,"W = 250"
2022-06-06,45.5582861658785,"W = 250"
2022-06-07,46.0135271074599,"W = 250"
2022-06-08,45.7646047766432,"W = 250"
2022-06-09,45.7296225201212,"W = 250"
2022-06-10,45.7544793897807,"W = 250"
2022-06-13,45.598573951175,"W = 250"
2022-06-14,45.8263275619786,"W = 250"
2022-06-15,45.8189063521395,"W = 250"
2022-06-17,45.8040821399089,"W = 250"
2022-06-20,45.8672435572106,"W = 250"
2022-06-21,46.0646413861352,"W = 250"
2022-06-22,45.9350783801045,"W = 250"
2022-06-23,45.8798066296776,"W = 250"
2022-06-24,45.5707153589954,"W = 250"
2022-06-27,45.6360189694667,"W = 250"
2022-06-28,45.596376168123,"W = 250"
2022-06-29,45.5529109013411,"W = 250"
2022-06-30,44.3501752226468,"W = 250"
2022-07-01,44.1980310450959,"W = 250"
2022-07-04,45.0816034996716,"W = 250"
2022-07-05,44.8848332857684,"W = 250"
2022-07-06,44.6864897349319,"W = 250"
2022-07-07,44.6798901833781,"W = 250"
2022-07-08,44.5086028722473,"W = 250"
2022-07-11,44.495774757289,"W = 250"
2022-07-12,44.1992647626853,"W = 250"
2022-07-13,44.2819275447959,"W = 250"
2022-07-14,44.0836548263396,"W = 250"
2022-07-15,43.8619758494584,"W = 250"
2022-07-18,43.6855211678056,"W = 250"
2022-07-19,43.597745154927,"W = 250"
2022-07-20,43.6782297829033,"W = 250"
2022-07-21,43.6613800324748,"W = 250"
2022-07-22,43.9437563230872,"W = 250"
2022-07-25,44.3371250000817,"W = 250"
2022-07-26,44.0670598757478,"W = 250"
2022-07-27,44.1204888224547,"W = 250"
2022-07-28,44.0107758489294,"W = 250"
2022-07-29,44.1359272994518,"W = 250"
2022-08-01,44.32036014428,"W = 250"
2022-08-02,44.3451088573068,"W = 250"
2022-08-03,44.40982312103,"W = 250"
2022-08-04,45.0379705014328,"W = 250"
2022-08-05,45.0112377401513,"W = 250"
2022-08-08,44.8320182799229,"W = 250"
2022-08-09,44.5825824658749,"W = 250"
2022-08-10,44.0721214938165,"W = 250"
2022-08-11,43.4428916424539,"W = 250"
2022-08-12,43.5896809481721,"W = 250"
2022-08-15,43.6216201760089,"W = 250"
2022-08-16,43.5882022337804,"W = 250"
2022-08-17,43.0975966290773,"W = 250"
2022-08-18,43.6614284373979,"W = 250"
2022-08-19,43.4413590492728,"W = 250"
2022-08-22,43.4672764459538,"W = 250"
2022-08-23,43.8713384832221,"W = 250"
2022-08-24,43.3401829922511,"W = 250"
2022-08-25,43.4668695295061,"W = 250"
2022-08-26,43.586059072526,"W = 250"
2022-08-29,43.5110304514586,"W = 250"
2022-08-30,43.7008862392828,"W = 250"
2022-08-31,43.2930023284878,"W = 250"
2022-09-01,44.5519144058917,"W = 250"
2022-09-02,43.8123219907258,"W = 250"
2022-09-05,43.7581053642231,"W = 250"
2022-09-06,43.6355394109453,"W = 250"
2022-09-08,43.5971790524704,"W = 250"
2022-09-09,43.8763505877852,"W = 250"
2022-09-12,43.6917940011269,"W = 250"
2022-09-13,43.3028541059465,"W = 250"
2022-09-14,42.7921182542203,"W = 250"
2022-09-15,42.7522840362356,"W = 250"
2022-09-16,42.4875314617944,"W = 250"
2022-09-19,42.5586756788012,"W = 250"
2022-09-20,42.7363911544304,"W = 250"
2022-09-21,42.7356790448093,"W = 250"
2022-09-22,42.3978775512337,"W = 250"
2022-09-23,42.6440061377029,"W = 250"
2022-09-26,42.5985603263461,"W = 250"
2022-09-27,42.6747980281402,"W = 250"
2022-09-28,42.6888743321233,"W = 250"
2022-09-29,42.9439389950843,"W = 250"
2022-09-30,42.4620055490456,"W = 250"
2022-10-03,43.4019255763233,"W = 250"
2022-10-04,42.8010318751094,"W = 250"
2022-10-05,42.5952272613664,"W = 250"
2022-10-06,42.3167456326302,"W = 250"
2022-10-07,42.2977395130265,"W = 250"
2022-10-10,42.3090949835367,"W = 250"
2022-10-11,42.3765106720719,"W = 250"
2022-10-13,42.9728974788764,"W = 250"
2022-10-14,42.8116654862344,"W = 250"
2022-10-17,40.863983422557,"W = 250"
2022-10-18,37.6461300992493,"W = 250"
2022-10-19,38.6470770336139,"W = 250"
2022-10-20,38.7282587845716,"W = 250"
2022-10-21,38.2186409050649,"W = 250"
